Product Name,Description,HP,kW,Supply Phase,Delivery Pipe,No. of Stages,ISI,MNRE
SWJ1,Shallow well jet pump with 8m suction,1.0,0.75,Single Phase,-,-,-,-
SWJ100AP-36 PLUS,Shallow well jet pump,-,-,Single Phase,-,-,-,-
SWJ100AT-36 PLUS,Shallow well jet pump with tank,1.0,0.75,Single Phase,-,-,-,-
SWJ100A-36 PLUS,Shallow well jet pump,1.0,0.75,Single Phase,-,-,-,-
SWJ50AT-30 PLUS,"Shallow well pump with tank, 0.5 HP",0.5,0.37,Single Phase,-,-,-,-
SWJ50AP-30 PLUS,"Shallow well pump, 0.5 HP",0.5,0.37,Single Phase,-,-,-,-
SWJ50A-30 PLUS,Shallow well pump,0.5,0.37,Single Phase,-,-,-,-
