Product Name,Description,HP,kW,Supply Phase,Delivery Pipe,No. of Stages,ISI,MNRE
4W7BU1AU,"4-inch water-filled submersible, 7 stages",1.0,0.75,Single Phase,4 inch (100mm),7,-,-
4W14BU2EU,"4-inch water-filled submersible, 14 stages, 301ft head",2.0,1.5,Single Phase,4 inch (100mm),14,-,-
4W10BU1AU,"4-inch water-filled submersible, 10 stages",1.0,0.75,Single Phase,4 inch (100mm),10,-,-
4W14BF1.5E,"4-inch water-filled submersible, 14 stages",1.0,0.75,Single Phase,4 inch (100mm),14,-,-
4W12BF1.5E,"4-inch water-filled submersible, 12 stages",1.0,0.75,Single Phase,4 inch (100mm),12,-,-
4W10RA2C-50,"4-inch water-filled submersible, 10 stages, 2.0 HP",2.0,1.5,Single Phase,4 inch (100mm),10,-,-
4VO10BU1EU,"4-inch oil-filled submersible, 10 stages",1.0,0.75,Single Phase,4 inch (100mm),10,-,-
